URL ,Apartment Name,Address,City,Units
https://www.equityapartments.com/boston/porter-square/walden-park-apartments,"
Walden Park Apartments","205 Walden St

Cambridge MA 02140",Boston,232
https://www.equityapartments.com/greater-boston/west-quincy/quarry-hills-apartments,"
Quarry Hills Apartments","333 Ricciuti Dr.

Quincy MA 02169",Boston,316
https://www.equityapartments.com/greater-boston/watertown/watertown-square-apartments,"
Watertown Square Apartments","20 Watertown St.

Watertown MA 02472",Boston,134
https://www.equityapartments.com/greater-boston/west-quincy/lincoln-heights-apartments,"
Lincoln Heights Apartments","175 Centre Street

Quincy MA 02169",Boston,336
https://www.equityapartments.com/greater-boston/west-quincy/rosecliff-apartments,"
Rosecliff Apartments","790 Willard Street

Quincy MA 02169",Boston,156
https://www.equityapartments.com/greater-boston/waltham/cronins-landing-apartments,Cronin's Landing Apartments,"237 Moody St.

Waltham MA 02453",Boston,281
https://www.equityapartments.com/west-boston/burlington/heritage-at-stone-ridge-apartments,Heritage at Stone Ridge Apartments,"2 Littles Brook Court

Burlington MA 01803",Boston,180
https://www.equityapartments.com/greater-boston/waltham/longview-place-apartments,Longview Place Apartments,"70 Hope Ave

Waltham MA 02453",Boston,348
https://www.equityapartments.com/south-boston/braintree/liberty-park-apartments,"
Liberty Park Apartments","1 Matthew Lane

Braintree MA 02184",Boston,320
https://www.equityapartments.com/san-francisco-bay/mission-bay/azure-apartments,"
Azure Apartments","690 Long Bridge Street

San Francisco CA 94158",San Francisco,273
https://www.equityapartments.com/san-francisco/rincon-hill/340-fremont-apartments,340 Fremont Apartments,"340 Fremont St

San Francisco CA 94105",San Francisco,348
https://www.equityapartments.com/san-francisco-bay/soma/77-bluxome-apartments,77 Bluxome Apartments,"77 Bluxome Street

San Francisco CA 94107",San Francisco,102
https://www.equityapartments.com/san-francisco-bay/soma/soma-square-apartments,SoMa Square Apartments,"One Saint Francis Pl.

San Francisco CA 94107",San Francisco,410
https://www.equityapartments.com/san-francisco/potrero-hill/potrero-1010-apartments,Potrero 1010 Apartments,"1010 16th St

San Francisco CA 94107",San Francisco,453
https://www.equityapartments.com/san-francisco/design-district/one-henry-adams-apartments,"
One Henry Adams Apartments","1 Henry Adams St

San Francisco CA 94103",San Francisco,241
https://www.equityapartments.com/san-francisco/soma/855-brannan-apartments,855 Brannan Apartments,"855 Brannan St

San Francisco CA 94103",San Francisco,449
https://www.equityapartments.com/san-francisco-bay/downtown-san-francisco/geary-courtyard-apartments,"
Geary Courtyard Apartments","639 Geary Street

San Francisco CA 94102",San Francisco,165
https://www.equityapartments.com/san-francisco-bay/lower-nob-hill/the-terraces-apartments,"
The Terraces Apartments","1330 Bush Street

San Francisco CA 94109",San Francisco,117
https://www.equityapartments.com/san-francisco/alameda/aero-apartments,Aero Apartments,"201 W. Atlantic Ave

Alameda CA 94501",San Francisco,200
https://www.equityapartments.com/san-francisco-bay/emeryville/artistry-emeryville-apartments,Artistry Emeryville Apartments,"6401 Shellmound St.

Emeryville CA 94608",San Francisco,267
https://www.equityapartments.com/san-francisco-bay/emeryville/parc-on-powell-apartments,Parc on Powell Apartments,"1333 Powell Street

Emeryville CA 94608",San Francisco,173
https://www.equityapartments.com/san-francisco-bay/berkeley/berkeley-apartments-acton-courtyard,Berkeley Apartments - Acton Courtyard,"1370 University Avenue

Berkeley CA 94704",San Francisco,71
https://www.equityapartments.com/san-francisco-bay/daly-city/88-hillside-apartments,88 Hillside Apartments,"6543 Mission Boulevard

Daly City CA 94014",San Francisco,95
https://www.equityapartments.com/san-francisco-bay/colma/la-terrazza-apartments,La Terrazza Apartments,"7800 El Camino Real

Colma CA 94014",San Francisco,155
https://www.equityapartments.com/san-francisco-bay/south-san-francisco/south-city-station-apartments,South City Station Apartments,"101 McLellan Drive

S. San Francisco CA 94080",San Francisco,368
https://www.equityapartments.com/san-francisco-bay/sausalito/summit-at-sausalito-apartments,"
Summit at Sausalito Apartments","401 Sherwood Dr.

Sausalito CA 94965",San Francisco,198
https://www.equityapartments.com/san-francisco-bay/burlingame/northpark-apartments,Northpark Apartments,"1080 Carolan Avenue

Burlingame CA 94010",San Francisco,510
https://www.equityapartments.com/san-francisco-bay/san-mateo/creekside-apartments,Creekside Apartments,"1600 E. Third Avenue

San Mateo CA 94401",San Francisco,192
https://www.equityapartments.com/san-francisco-bay/san-mateo/55-west-fifth-apartments,55 West Fifth Apartments,"55 West 5th Avenue

San Mateo CA 94402",San Francisco,87
https://www.equityapartments.com/san-francisco-bay/san-mateo/park-place-at-san-mateo-apartments,Park Place at San Mateo Apartments,"1101 Park Pl.

San Mateo CA 94403",San Francisco,575
https://www.equityapartments.com/san-francisco-bay/foster-city/lantern-cove-apartments,Lantern Cove Apartments,"244 Rock Harbor Lane

Foster City CA 94404",San Francisco,232
https://www.equityapartments.com/san-francisco-bay/foster-city/schooner-bay-apartment-homes,Schooner Bay Apartment Homes,"300 Timberhead Lane

Foster City CA 94404",San Francisco,168
https://www.equityapartments.com/san-francisco-bay/redwood-city/riva-terra-apartments-at-redwood-shores,Riva Terra Apartments at Redwood Shores,"850 Davit Ln.

Redwood City CA 94065",San Francisco,304
https://www.equityapartments.com/san-francisco-bay/redwood-city/huxley-apartments,Huxley Apartments,"1355 El Camino Real

Redwood City CA 94063",San Francisco,137
https://www.equityapartments.com/san-francisco-bay/redwood-city/avenue-two-apartments,Avenue Two Apartments,"1107 Second Avenue

Redwood City CA 94063",San Francisco,123
https://www.equityapartments.com/san-francisco-bay/pleasant-hill/wood-creek-ca-apartments,Wood Creek Apartments,"637 Stonebridge Way

Pleasant Hill CA 94523",San Francisco,256
https://www.equityapartments.com/san-francisco-bay/san-ramon/canyon-creek-ca-apartments,"
Canyon Creek Apartments","1000 Canyon Village Circle

San Ramon CA 94583",San Francisco,268
https://www.equityapartments.com/san-francisco-bay/union-city/parkside-apartments,Parkside Apartments,"1501 Decoto Road

Union City CA 94587",San Francisco,208
https://www.equityapartments.com/san-francisco-bay/union-city/skylark-apartments,Skylark Apartments,"34655 Skylark Drive

Union City CA 94587",San Francisco,174
https://www.equityapartments.com/san-francisco-bay/palo-alto/southwood-apartments,Southwood Apartments,"2850 Middlefield Road

Palo Alto CA 94306",San Francisco,100
https://www.equityapartments.com/san-francisco-bay/fremont/archstone-fremont-center-apartments,"
Archstone Fremont Center Apartments","39410 Civic Center Dr.

Fremont CA 94538",San Francisco,322
https://www.equityapartments.com/san-francisco-bay/fremont/alborada-apartments,Alborada Apartments,"1001 Beethoven Common

Fremont CA 94538",San Francisco,442
